model,target_type,location,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.01,9718.5,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.01,458,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.01,6277.5,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.01,324,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.01,2283.5,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.01,176.5,3,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.01,1117.5,4,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.01,83,4,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.025,11422.5,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.025,485,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.025,7388.5,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.025,354.5,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.025,3017,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.025,205.5,3,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.025,1569,4,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.025,103.5,4,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.05,12921,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.05,510,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.05,8191.5,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.05,382.5,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.05,4175,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.05,233,3,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.05,2091,4,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.05,122,4,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.1,14689.5,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.1,542.5,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.1,9266.5,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.1,412,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.1,5525,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.1,264.5,3,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.1,2891,4,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.1,151.5,4,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.15,15909.5,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.15,559.5,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.15,10191.5,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.15,435.5,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.15,6312,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.15,290,3,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.15,3691.5,4,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.15,175,4,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.2,16894.5,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.2,580,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.2,11057,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.2,445.5,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.2,7276.5,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.2,302.5,3,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.2,4531.5,4,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.2,197,4,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.25,17758,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.25,598,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.25,12066,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.25,455,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.25,8175.5,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.25,315.5,3,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.25,5383,4,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.25,214.5,4,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.3,18854,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.3,612.5,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.3,13046.5,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.3,458,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.3,8396,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.3,325.5,3,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.3,6199.5,4,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.3,225.5,4,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.35,19112.5,1,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.35,628,1,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.35,13252.5,2,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.35,471,2,4,ensemble,1
weighted.median_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.35,9141.5,3,4,ensemble,1
weighted.median_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.35,335,3,4,ensemble,1
