model,target_type,location,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.01,43552.625,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.01,1193,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.01,30036.125,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.01,1065.375,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.01,21037.875,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.01,922.5,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.01,15338.875,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.01,768.625,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.025,46910.5,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.025,1234,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.025,33537,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.025,1127,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.025,24315.875,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.025,987.5,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.025,18387.375,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.025,835.75,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.05,50228.75,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.05,1271.375,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.05,37437.125,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.05,1176.375,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.05,28359.375,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.05,1050,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.05,22154.625,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.05,908.375,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.1,54653.5,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.1,1319.25,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.1,42953.5,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.1,1245.25,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.1,34102.125,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.1,1133.125,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.1,27344,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.1,1003.75,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.15,57781.5,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.15,1350.125,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.15,46985.875,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.15,1290.25,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.15,38121.125,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.15,1193.375,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.15,31279.5,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.15,1070.25,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.2,60403.5,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.2,1380.875,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.2,50393.375,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.2,1330.25,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.2,41752,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.2,1247.375,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.2,34979.5,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.2,1132.875,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.25,62771.5,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.25,1408.625,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.25,53350.125,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.25,1369.125,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.25,45231.625,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.25,1299.75,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.25,38860.375,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.25,1190.875,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.3,64991,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.3,1429.875,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.3,56195.625,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.3,1403.125,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.3,48719.375,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.3,1343.625,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.3,42575,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.3,1241.75,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.35,67113.625,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.35,1450.625,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.35,59052.625,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.35,1434.625,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.35,52252.25,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.35,1384.875,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.35,46389.125,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.35,1293.5,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.4,69281.625,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.4,1477.375,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.4,61957.875,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.4,1469.875,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.4,55658.875,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.4,1430.375,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.4,50351.5,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.4,1348.625,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.45,71350.125,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.45,1511.125,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.45,64887.625,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.45,1512.5,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.45,59161.5,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.45,1479.875,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.45,54250.375,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.45,1409.25,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.5,73559.625,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.5,1539.125,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.5,67802.5,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.5,1550.75,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.5,62887.625,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.5,1527.25,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.5,58425,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.5,1467.875,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.55,75749.125,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.55,1570,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.55,71047.875,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.55,1589.125,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.55,67013.625,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.55,1576.75,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.55,63111.25,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.55,1529.75,4,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-20,67298,10591323,2021-03-15,0.6,77949.5,1,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-20,1447,10591323,2021-03-15,0.6,1606.375,1,4,ensemble,1
mean_ensemble,Cases,CZ,2021-03-27,51615,10591323,2021-03-15,0.6,74452.5,2,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-03-27,1248,10591323,2021-03-15,0.6,1631.75,2,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-03,38713,10591323,2021-03-15,0.6,71540.75,3,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-03,1089,10591323,2021-03-15,0.6,1630.5,3,4,ensemble,1
mean_ensemble,Cases,CZ,2021-04-10,28238,10591323,2021-03-15,0.6,68607.625,4,4,ensemble,1
mean_ensemble,Deaths,CZ,2021-04-10,867,10591323,2021-03-15,0.6,1594,4,4,ensemble,1
