model,location,target_type,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.01,11412.6,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.01,506.4,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.01,7228.2,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.01,342.8,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.01,4894,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.01,222,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.01,3523.8,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.01,126.8,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.025,12269.2,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.025,537.4,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.025,8005.6,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.025,370,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.025,5553,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.025,242.8,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.025,4114.4,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.025,145.8,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.05,13184.2,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.05,558,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.05,8825.8,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.05,390.2,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.05,6253.6,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.05,261.8,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.05,4726,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.05,163,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.1,14430.2,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.1,582.8,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.1,9935.6,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.1,413.4,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.1,7262.2,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.1,283.8,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.1,5639.8,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.1,183.6,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.15,15341,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.15,601.2,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.15,10809,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.15,431.6,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.15,8048.2,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.15,302.6,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.15,6408.4,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.15,200.4,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.2,16152,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.2,615.2,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.2,11581,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.2,444.6,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.2,8754.8,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.2,315.4,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.2,7083,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.2,214.2,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.25,16871,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.25,627.6,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.25,12302.2,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.25,456,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.25,9433.8,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.25,327.4,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.25,7730.8,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.25,226.4,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.3,17566.4,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.3,639.2,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.3,12997.6,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.3,466.8,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.3,10078,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.3,339,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.3,8387,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.3,237,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.35,18615.6,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.35,656.4,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.35,14000.4,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.35,481.8,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.35,11063,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.35,353.8,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.35,9258,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.35,250.8,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.4,19327.8,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.4,667.4,1,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.4,14723.2,2,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.4,493,2,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.4,11791.2,3,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.4,365.4,3,4,ensemble,1
mean_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.4,9984.4,4,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.4,262.8,4,4,ensemble,1
mean_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.45,20045,1,4,ensemble,1
mean_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.45,679.8,1,4,ensemble,1
