model,location,target_type,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.01,9718.5,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.01,491,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.01,6277.5,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.01,335.5,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.01,3467.5,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.01,205.5,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.01,1749,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.01,121,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.025,11422.5,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.025,536,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.025,7388.5,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.025,373,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.025,3951,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.025,228.5,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.025,2082,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.025,139.5,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.05,12921,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.05,558,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.05,8191.5,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.05,395.5,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.05,4576.5,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.05,249,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.05,2505,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.05,155.5,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.1,14689.5,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.1,582.5,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.1,9266.5,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.1,418.5,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.1,5525,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.1,271,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.1,3190.5,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.1,174,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.15,15909.5,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.15,598,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.15,10191.5,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.15,434.5,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.15,6284,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.15,290,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.15,3841,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.15,188.5,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.2,16894.5,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.2,610,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.2,11002,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.2,445.5,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.2,7030,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.2,302.5,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.2,4541.5,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.2,203.5,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.25,17752.5,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.25,620.5,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.25,11750.5,2,4,ensemble,1
