location,target_type,forecast_date,model,nmod
DE,Cases,2021-04-12,FIAS_FZJ-Epi1Ger,3
DE,Cases,2021-04-12,IEM_Health-CovidProject,3
DE,Cases,2021-04-12,LANL-GrowthRate,3
DE,Cases,2021-04-19,IEM_Health-CovidProject,3
DE,Cases,2021-04-19,LANL-GrowthRate,3
DE,Cases,2021-04-19,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-04-26,LANL-GrowthRate,3
DE,Cases,2021-04-26,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-04-26,epiforecasts-EpiExpert,3
DE,Cases,2021-05-03,Karlen-pypm,3
DE,Cases,2021-05-03,epiforecasts-EpiExpert,3
DE,Cases,2021-05-03,epiforecasts-EpiNow2,3
DE,Cases,2021-05-10,UMass-SemiMech,3
DE,Cases,2021-05-10,UNIPV-BayesINGARCHX,3
DE,Cases,2021-05-10,epiforecasts-EpiExpert,3
DE,Cases,2021-05-17,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-05-17,UMass-SemiMech,3
DE,Cases,2021-05-17,UNIPV-BayesINGARCHX,3
DE,Cases,2021-05-24,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-05-24,epiforecasts-EpiExpert,3
DE,Cases,2021-05-24,epiforecasts-EpiExpert_Rt,3
DE,Cases,2021-05-31,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-05-31,epiforecasts-EpiExpert_Rt,3
DE,Cases,2021-05-31,itwm-dSEIR,3
DE,Cases,2021-06-07,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-06-07,RobertWalraven-ESG,3
DE,Cases,2021-06-07,epiforecasts-EpiExpert_Rt,3
DE,Cases,2021-06-14,RobertWalraven-ESG,3
DE,Cases,2021-06-14,UNIPV-BayesINGARCHX,3
DE,Cases,2021-06-14,itwm-dSEIR,3
DE,Cases,2021-06-21,RobertWalraven-ESG,3
DE,Cases,2021-06-21,UNIPV-BayesINGARCHX,3
DE,Cases,2021-06-21,itwm-dSEIR,3
DE,Cases,2021-06-28,ILM-EKF,3
DE,Cases,2021-06-28,UNIPV-BayesINGARCHX,3
DE,Cases,2021-06-28,itwm-dSEIR,3
DE,Cases,2021-07-05,ILM-EKF,3
DE,Cases,2021-07-05,epiforecasts-EpiNow2,3
DE,Cases,2021-07-05,itwm-dSEIR,3
DE,Cases,2021-07-12,Karlen-pypm,3
DE,Cases,2021-07-12,epiforecasts-EpiExpert_Rt,3
DE,Cases,2021-07-12,itwm-dSEIR,3
DE,Cases,2021-07-19,ITWW-county_repro,3
DE,Cases,2021-07-19,epiforecasts-EpiExpert,3
DE,Cases,2021-07-19,epiforecasts-EpiExpert_direct,3
DE,Cases,2021-07-26,ITWW-county_repro,3
DE,Cases,2021-07-26,epiforecasts-EpiExpert,3
DE,Cases,2021-07-26,itwm-dSEIR,3
DE,Cases,2021-08-02,ITWW-county_repro,3
DE,Cases,2021-08-02,epiforecasts-EpiExpert,3
DE,Cases,2021-08-02,epiforecasts-EpiExpert_Rt,3
DE,Cases,2021-08-09,epiforecasts-EpiExpert,3
DE,Cases,2021-08-09,epiforecasts-EpiExpert_direct,3
DE,Cases,2021-08-09,itwm-dSEIR,3
DE,Cases,2021-08-16,FIAS_FZJ-Epi1Ger,3
DE,Cases,2021-08-16,epiforecasts-EpiExpert_Rt,3
DE,Cases,2021-08-16,itwm-dSEIR,3
DE,Cases,2021-08-23,FIAS_FZJ-Epi1Ger,3
DE,Cases,2021-08-23,ITWW-county_repro,3
DE,Cases,2021-08-23,epiforecasts-EpiExpert_direct,3
DE,Cases,2021-08-30,HZI-AgeExtendedSEIR,3
DE,Cases,2021-08-30,ITWW-county_repro,3
DE,Cases,2021-08-30,epiforecasts-EpiExpert_direct,3
DE,Cases,2021-09-06,HZI-AgeExtendedSEIR,3
DE,Cases,2021-09-06,IEM_Health-CovidProject,3
DE,Cases,2021-09-06,MUNI-ARIMA,3
DE,Cases,2021-09-13,MUNI-ARIMA,3
DE,Cases,2021-09-13,UNIPV-BayesINGARCHX,3
DE,Cases,2021-09-13,USC-SIkJalpha,3
DE,Cases,2021-09-20,CovidMetrics-epiBATS,3
DE,Cases,2021-09-20,LANL-GrowthRate,3
DE,Cases,2021-09-20,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-09-27,CovidMetrics-epiBATS,3
DE,Cases,2021-09-27,LANL-GrowthRate,3
DE,Cases,2021-09-27,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-10-04,CovidMetrics-epiBATS,3
DE,Cases,2021-10-04,MIT_CovidAnalytics-DELPHI,3
DE,Cases,2021-10-04,itwm-dSEIR,3
DE,Cases,2021-10-11,CovidMetrics-epiBATS,3
DE,Cases,2021-10-11,Karlen-pypm,3
DE,Cases,2021-10-11,USC-SIkJalpha,3
DE,Cases,2021-10-18,CovidMetrics-epiBATS,3
DE,Cases,2021-10-18,ITWW-county_repro,3
DE,Cases,2021-10-18,MUNI-ARIMA,3
