model,location,target_type,weights,forecast_date,nmod
epiforecasts-EpiExpert,DE,Deaths,0.370911294744182,2021-04-12,3
epiforecasts-EpiExpert,FR,Cases,0.403017059655528,2021-04-12,3
epiforecasts-EpiExpert,GB,Deaths,0.314360601933913,2021-04-12,3
epiforecasts-EpiExpert,PL,Deaths,0.323339067874996,2021-04-12,3
epiforecasts-EpiNow2,CZ,Cases,0.272018758742453,2021-04-12,3
epiforecasts-EpiNow2,CZ,Deaths,0.303503393103173,2021-04-12,3
epiforecasts-EpiNow2,FR,Cases,0.326430293434358,2021-04-12,3
epiforecasts-EpiNow2,GB,Cases,0.302780043360637,2021-04-12,3
FIAS_FZJ-Epi1Ger,DE,Cases,0.340576451693215,2021-04-12,3
ICM-agentModel,PL,Cases,0.279576638528338,2021-04-12,3
IEM_Health-CovidProject,DE,Cases,0.322345432832392,2021-04-12,3
IEM_Health-CovidProject,GB,Cases,0.37104478404759,2021-04-12,3
IEM_Health-CovidProject,GB,Deaths,0.235495707562646,2021-04-12,3
ILM-EKF,CZ,Deaths,0.227599852626453,2021-04-12,3
ILM-EKF,FR,Deaths,0.222017574597293,2021-04-12,3
ILM-EKF,GB,Cases,0.326175172591773,2021-04-12,3
itwm-dSEIR,DE,Deaths,0.29454540110488,2021-04-12,3
LANL-GrowthRate,CZ,Cases,0.3534899270047,2021-04-12,3
LANL-GrowthRate,CZ,Deaths,0.468896754270374,2021-04-12,3
LANL-GrowthRate,DE,Cases,0.337078115474393,2021-04-12,3
LANL-GrowthRate,DE,Deaths,0.334543304150939,2021-04-12,3
LANL-GrowthRate,FR,Deaths,0.444284755755763,2021-04-12,3
LANL-GrowthRate,GB,Deaths,0.450143690503441,2021-04-12,3
LANL-GrowthRate,PL,Cases,0.295285555121053,2021-04-12,3
MOCOS-agent1,PL,Cases,0.425137806350609,2021-04-12,3
MOCOS-agent1,PL,Deaths,0.400339352781605,2021-04-12,3
MUNI_DMS-SEIAR,CZ,Cases,0.374491314252847,2021-04-12,3
USC-SIkJalpha,FR,Cases,0.270552646910114,2021-04-12,3
USC-SIkJalpha,FR,Deaths,0.333697669646944,2021-04-12,3
USC-SIkJalpha,PL,Deaths,0.276321579343399,2021-04-12,3
DSMPG-bayes,CZ,Cases,0.338403454099699,2021-04-19,3
epiforecasts-EpiExpert,DE,Deaths,0.358315732334679,2021-04-19,3
epiforecasts-EpiExpert,GB,Deaths,0.316872319379521,2021-04-19,3
epiforecasts-EpiExpert,PL,Deaths,0.340356406412303,2021-04-19,3
epiforecasts-EpiNow2,CZ,Deaths,0.352467038848574,2021-04-19,3
epiforecasts-EpiNow2,GB,Cases,0.306868738365717,2021-04-19,3
ICM-agentModel,PL,Cases,0.232896253528205,2021-04-19,3
IEM_Health-CovidProject,DE,Cases,0.338021862720713,2021-04-19,3
IEM_Health-CovidProject,GB,Cases,0.40362791292948,2021-04-19,3
IEM_Health-CovidProject,GB,Deaths,0.28153955397861,2021-04-19,3
ILM-EKF,CZ,Cases,0.34267903287573,2021-04-19,3
ILM-EKF,CZ,Deaths,0.34081731124377,2021-04-19,3
ILM-EKF,GB,Cases,0.289503348704803,2021-04-19,3
LANL-GrowthRate,DE,Cases,0.349862965262778,2021-04-19,3
LANL-GrowthRate,GB,Deaths,0.401588126641869,2021-04-19,3
MIMUW-StochSEIR,PL,Deaths,0.230214435234404,2021-04-19,3
MIT_CovidAnalytics-DELPHI,DE,Cases,0.312115172016509,2021-04-19,3
MIT_CovidAnalytics-DELPHI,DE,Deaths,0.34569527328835,2021-04-19,3
MOCOS-agent1,PL,Cases,0.541724117769612,2021-04-19,3
MOCOS-agent1,PL,Deaths,0.429429158353292,2021-04-19,3
MUNI_DMS-SEIAR,CZ,Cases,0.318917513024571,2021-04-19,3
RobertWalraven-ESG,FR,Deaths,0.291193500679744,2021-04-19,3
UMass-MechBayes,FR,Deaths,0.215328878762838,2021-04-19,3
UMass-SemiMech,CZ,Deaths,0.306715649907656,2021-04-19,3
UMass-SemiMech,DE,Deaths,0.295988994376971,2021-04-19,3
UMass-SemiMech,FR,Cases,0.255867579523777,2021-04-19,3
UNIPV-BayesINGARCHX,FR,Cases,0.377685012030915,2021-04-19,3
USC-SIkJalpha,FR,Cases,0.366447408445308,2021-04-19,3
USC-SIkJalpha,FR,Deaths,0.493477620557418,2021-04-19,3
USC-SIkJalpha,PL,Cases,0.225379628702183,2021-04-19,3
DSMPG-bayes,PL,Cases,0.190814021948278,2021-04-26,3
epiforecasts-EpiExpert,DE,Cases,0.392618791326164,2021-04-26,3
epiforecasts-EpiExpert,DE,Deaths,0.335970022143768,2021-04-26,3
epiforecasts-EpiExpert,GB,Deaths,0.322121543100751,2021-04-26,3
epiforecasts-EpiExpert,PL,Deaths,0.429407314616309,2021-04-26,3
epiforecasts-EpiNow2,CZ,Cases,0.351847667404711,2021-04-26,3
epiforecasts-EpiNow2,CZ,Deaths,0.407065189245298,2021-04-26,3
epiforecasts-EpiNow2,FR,Cases,0.310437108387031,2021-04-26,3
epiforecasts-EpiNow2,GB,Cases,0.339428650462886,2021-04-26,3
ICM-agentModel,PL,Cases,0.239411969703151,2021-04-26,3
IEM_Health-CovidProject,FR,Deaths,0.181902279086573,2021-04-26,3
IEM_Health-CovidProject,GB,Cases,0.371093078680596,2021-04-26,3
ILM-EKF,CZ,Cases,0.43728791749148,2021-04-26,3
ILM-EKF,CZ,Deaths,0.318114268130731,2021-04-26,3
LANL-GrowthRate,DE,Cases,0.286811317684982,2021-04-26,3
LANL-GrowthRate,FR,Cases,0.286632693694977,2021-04-26,3
LANL-GrowthRate,GB,Cases,0.289478270856518,2021-04-26,3
LANL-GrowthRate,GB,Deaths,0.38329769799081,2021-04-26,3
LANL-GrowthRate,PL,Deaths,0.22506863101705,2021-04-26,3
MIT_CovidAnalytics-DELPHI,DE,Cases,0.320569890988854,2021-04-26,3
MIT_CovidAnalytics-DELPHI,DE,Deaths,0.349919550810404,2021-04-26,3
MOCOS-agent1,PL,Cases,0.569774008348571,2021-04-26,3
MOCOS-agent1,PL,Deaths,0.345524054366641,2021-04-26,3
RobertWalraven-ESG,FR,Deaths,0.545311080808867,2021-04-26,3
RobertWalraven-ESG,GB,Deaths,0.294580758908439,2021-04-26,3
UMass-SemiMech,CZ,Cases,0.210864415103809,2021-04-26,3
UMass-SemiMech,CZ,Deaths,0.274820542623971,2021-04-26,3
UMass-SemiMech,DE,Deaths,0.314110427045829,2021-04-26,3
USC-SIkJalpha,FR,Cases,0.402930197917992,2021-04-26,3
USC-SIkJalpha,FR,Deaths,0.272786640104561,2021-04-26,3
epiforecasts-EpiExpert,DE,Cases,0.348951548372505,2021-05-03,3
epiforecasts-EpiExpert,GB,Deaths,0.295643091444145,2021-05-03,3
epiforecasts-EpiNow2,CZ,Cases,0.345260993577884,2021-05-03,3
epiforecasts-EpiNow2,CZ,Deaths,0.363696042493815,2021-05-03,3
epiforecasts-EpiNow2,DE,Cases,0.312639764037195,2021-05-03,3
epiforecasts-EpiNow2,FR,Cases,0.320982065531995,2021-05-03,3
epiforecasts-EpiNow2,GB,Deaths,0.290690067426806,2021-05-03,3
epiforecasts-EpiNow2,PL,Cases,0.477884082747038,2021-05-03,3
IEM_Health-CovidProject,GB,Cases,0.400194946306403,2021-05-03,3
ILM-EKF,CZ,Cases,0.395563359636346,2021-05-03,3
ILM-EKF,DE,Deaths,0.316299618438063,2021-05-03,3
ILM-EKF,FR,Cases,0.318381578028907,2021-05-03,3
ILM-EKF,FR,Deaths,0.20854566750771,2021-05-03,3
ILM-EKF,PL,Deaths,0.24041167514306,2021-05-03,3
Karlen-pypm,DE,Cases,0.3384086875903,2021-05-03,3
Karlen-pypm,DE,Deaths,0.37747178720183,2021-05-03,3
LANL-GrowthRate,GB,Cases,0.381963616571931,2021-05-03,3
LANL-GrowthRate,PL,Cases,0.136412503291151,2021-05-03,3
LANL-GrowthRate,PL,Deaths,0.269464695933456,2021-05-03,3
MOCOS-agent1,PL,Cases,0.385703413961811,2021-05-03,3
MOCOS-agent1,PL,Deaths,0.490123628923483,2021-05-03,3
RobertWalraven-ESG,CZ,Deaths,0.412005977259193,2021-05-03,3
RobertWalraven-ESG,FR,Deaths,0.557734760092492,2021-05-03,3
UMass-MechBayes,CZ,Deaths,0.224297980246992,2021-05-03,3
UMass-MechBayes,GB,Deaths,0.413666841129049,2021-05-03,3
USC-SIkJalpha,CZ,Cases,0.25917564678577,2021-05-03,3
USC-SIkJalpha,DE,Deaths,0.306228594360107,2021-05-03,3
USC-SIkJalpha,FR,Cases,0.360636356439097,2021-05-03,3
USC-SIkJalpha,FR,Deaths,0.233719572399798,2021-05-03,3
USC-SIkJalpha,GB,Cases,0.217841437121665,2021-05-03,3
epiforecasts-EpiExpert,DE,Cases,0.389885837113136,2021-05-10,3
epiforecasts-EpiExpert,DE,Deaths,0.334224165238962,2021-05-10,3
