model,location,target_type,weights,forecast_date
mech_ensemble,CZ,Cases,0.453427465555627,2021-04-12
mech_ensemble,CZ,Deaths,0.22588816696911,2021-04-12
mech_ensemble,DE,Cases,0.378786481505527,2021-04-12
mech_ensemble,DE,Deaths,0.466866167537283,2021-04-12
mech_ensemble,FR,Cases,0.367814771787057,2021-04-12
mech_ensemble,FR,Deaths,0.375078458217973,2021-04-12
mech_ensemble,GB,Cases,0.53157815108134,2021-04-12
mech_ensemble,GB,Deaths,0.326203433372132,2021-04-12
mech_ensemble,PL,Cases,0.51985695287041,2021-04-12
mech_ensemble,PL,Deaths,0.48545932108095,2021-04-12
semi_ensemble,CZ,Cases,0.546572534444373,2021-04-12
semi_ensemble,CZ,Deaths,0.597198313719849,2021-04-12
semi_ensemble,DE,Cases,0.346246965989248,2021-04-12
semi_ensemble,DE,Deaths,0.227078587102405,2021-04-12
semi_ensemble,FR,Cases,0.357657302486593,2021-04-12
semi_ensemble,FR,Deaths,0.380598020266155,2021-04-12
semi_ensemble,GB,Cases,0.46842184891866,2021-04-12
semi_ensemble,GB,Deaths,0.275890660323681,2021-04-12
semi_ensemble,PL,Cases,0.48014304712959,2021-04-12
semi_ensemble,PL,Deaths,0.302906837236196,2021-04-12
stat_ensemble,CZ,Deaths,0.17691351931104,2021-04-12
stat_ensemble,DE,Cases,0.274966552505225,2021-04-12
stat_ensemble,DE,Deaths,0.306055245360313,2021-04-12
stat_ensemble,FR,Cases,0.274527925726349,2021-04-12
stat_ensemble,FR,Deaths,0.244323521515872,2021-04-12
stat_ensemble,GB,Deaths,0.397905906304187,2021-04-12
stat_ensemble,PL,Deaths,0.211633841682855,2021-04-12
mech_ensemble,CZ,Cases,0.341452318453104,2021-04-19
mech_ensemble,CZ,Deaths,0.231017546302857,2021-04-19
mech_ensemble,DE,Cases,0.338689918776535,2021-04-19
mech_ensemble,DE,Deaths,0.474649675880847,2021-04-19
mech_ensemble,FR,Cases,0.330488722670949,2021-04-19
mech_ensemble,FR,Deaths,0.397769540946344,2021-04-19
mech_ensemble,GB,Cases,0.549446107922312,2021-04-19
mech_ensemble,GB,Deaths,0.302114541558124,2021-04-19
mech_ensemble,PL,Cases,0.456156820021768,2021-04-19
mech_ensemble,PL,Deaths,0.492833609887338,2021-04-19
semi_ensemble,CZ,Cases,0.658547681546896,2021-04-19
semi_ensemble,CZ,Deaths,0.58481942224514,2021-04-19
semi_ensemble,DE,Cases,0.339799346381054,2021-04-19
semi_ensemble,DE,Deaths,0.274178120076041,2021-04-19
semi_ensemble,FR,Cases,0.319031356162224,2021-04-19
semi_ensemble,FR,Deaths,0.269254696491482,2021-04-19
semi_ensemble,GB,Cases,0.450553892077688,2021-04-19
semi_ensemble,GB,Deaths,0.291780264156178,2021-04-19
semi_ensemble,PL,Cases,0.543843179978232,2021-04-19
semi_ensemble,PL,Deaths,0.263425891868077,2021-04-19
stat_ensemble,CZ,Deaths,0.184163031452002,2021-04-19
stat_ensemble,DE,Cases,0.321510734842411,2021-04-19
stat_ensemble,DE,Deaths,0.251172204043112,2021-04-19
stat_ensemble,FR,Cases,0.350479921166827,2021-04-19
stat_ensemble,FR,Deaths,0.332975762562174,2021-04-19
stat_ensemble,GB,Deaths,0.406105194285698,2021-04-19
stat_ensemble,PL,Deaths,0.243740498244585,2021-04-19
mech_ensemble,CZ,Cases,0.326878090940366,2021-04-26
mech_ensemble,CZ,Deaths,0.32659784909492,2021-04-26
mech_ensemble,DE,Cases,0.390797403517536,2021-04-26
mech_ensemble,DE,Deaths,0.464880157838173,2021-04-26
mech_ensemble,FR,Cases,0.377421422481162,2021-04-26
mech_ensemble,FR,Deaths,0.231188787499831,2021-04-26
mech_ensemble,GB,Cases,0.523033527179647,2021-04-26
mech_ensemble,GB,Deaths,0.218943041399367,2021-04-26
mech_ensemble,PL,Cases,0.356925832261292,2021-04-26
mech_ensemble,PL,Deaths,0.378285970641445,2021-04-26
semi_ensemble,CZ,Cases,0.673121909059635,2021-04-26
semi_ensemble,CZ,Deaths,0.51262597922158,2021-04-26
semi_ensemble,DE,Cases,0.320601200417171,2021-04-26
semi_ensemble,DE,Deaths,0.371777251690074,2021-04-26
semi_ensemble,FR,Cases,0.345297808040081,2021-04-26
semi_ensemble,FR,Deaths,0.116844283855465,2021-04-26
semi_ensemble,GB,Cases,0.476966472820353,2021-04-26
