model,location,target_type,weights,forecast_date
mech_ensemble,CZ,Cases,0.397112685150863,2021-04-12
mech_ensemble,CZ,Deaths,0.22588816696911,2021-04-12
mech_ensemble,DE,Cases,0.374633261555019,2021-04-12
mech_ensemble,DE,Deaths,0.43088661001824,2021-04-12
mech_ensemble,FR,Cases,0.382195416789763,2021-04-12
mech_ensemble,FR,Deaths,0.375078458217973,2021-04-12
mech_ensemble,GB,Cases,0.53157815108134,2021-04-12
mech_ensemble,GB,Deaths,0.326203433372132,2021-04-12
mech_ensemble,PL,Cases,0.557143723667328,2021-04-12
mech_ensemble,PL,Deaths,0.473583390895415,2021-04-12
semi_ensemble,CZ,Cases,0.602887314849137,2021-04-12
semi_ensemble,CZ,Deaths,0.597198313719849,2021-04-12
semi_ensemble,DE,Cases,0.358580599660586,2021-04-12
semi_ensemble,DE,Deaths,0.271506426536667,2021-04-12
semi_ensemble,FR,Cases,0.359232608840633,2021-04-12
semi_ensemble,FR,Deaths,0.380598020266155,2021-04-12
semi_ensemble,GB,Cases,0.46842184891866,2021-04-12
semi_ensemble,GB,Deaths,0.275890660323681,2021-04-12
semi_ensemble,PL,Cases,0.442856276332672,2021-04-12
semi_ensemble,PL,Deaths,0.287986597875969,2021-04-12
stat_ensemble,CZ,Deaths,0.17691351931104,2021-04-12
stat_ensemble,DE,Cases,0.266786138784394,2021-04-12
stat_ensemble,DE,Deaths,0.297606963445093,2021-04-12
stat_ensemble,FR,Cases,0.258571974369605,2021-04-12
stat_ensemble,FR,Deaths,0.244323521515872,2021-04-12
stat_ensemble,GB,Deaths,0.397905906304187,2021-04-12
stat_ensemble,PL,Deaths,0.238430011228617,2021-04-12
mech_ensemble,CZ,Cases,0.358339547618692,2021-04-19
mech_ensemble,CZ,Deaths,0.231017546302857,2021-04-19
mech_ensemble,DE,Cases,0.338312705152037,2021-04-19
mech_ensemble,DE,Deaths,0.445458881635832,2021-04-19
mech_ensemble,FR,Cases,0.344038862729759,2021-04-19
mech_ensemble,FR,Deaths,0.397769540946344,2021-04-19
mech_ensemble,GB,Cases,0.549446107922312,2021-04-19
mech_ensemble,GB,Deaths,0.302114541558124,2021-04-19
mech_ensemble,PL,Cases,0.523251305186549,2021-04-19
mech_ensemble,PL,Deaths,0.497950427392739,2021-04-19
semi_ensemble,CZ,Cases,0.641660452381308,2021-04-19
semi_ensemble,CZ,Deaths,0.58481942224514,2021-04-19
semi_ensemble,DE,Cases,0.35220756788735,2021-04-19
semi_ensemble,DE,Deaths,0.317122118571697,2021-04-19
semi_ensemble,FR,Cases,0.316338174374299,2021-04-19
semi_ensemble,FR,Deaths,0.269254696491482,2021-04-19
semi_ensemble,GB,Cases,0.450553892077688,2021-04-19
semi_ensemble,GB,Deaths,0.291780264156178,2021-04-19
semi_ensemble,PL,Cases,0.476748694813451,2021-04-19
semi_ensemble,PL,Deaths,0.253817336803083,2021-04-19
stat_ensemble,CZ,Deaths,0.184163031452002,2021-04-19
stat_ensemble,DE,Cases,0.309479726960613,2021-04-19
stat_ensemble,DE,Deaths,0.237418999792471,2021-04-19
stat_ensemble,FR,Cases,0.339622962895942,2021-04-19
stat_ensemble,FR,Deaths,0.332975762562174,2021-04-19
stat_ensemble,GB,Deaths,0.406105194285698,2021-04-19
stat_ensemble,PL,Deaths,0.248232235804179,2021-04-19
mech_ensemble,CZ,Cases,0.385329051984025,2021-04-26
mech_ensemble,CZ,Deaths,0.32659784909492,2021-04-26
mech_ensemble,DE,Cases,0.387163582088422,2021-04-26
mech_ensemble,DE,Deaths,0.449538357702505,2021-04-26
mech_ensemble,FR,Cases,0.326498807950262,2021-04-26
mech_ensemble,FR,Deaths,0.231188787499831,2021-04-26
mech_ensemble,GB,Cases,0.523033527179647,2021-04-26
mech_ensemble,GB,Deaths,0.218943041399367,2021-04-26
mech_ensemble,PL,Cases,0.450516307403958,2021-04-26
mech_ensemble,PL,Deaths,0.385228514361111,2021-04-26
semi_ensemble,CZ,Cases,0.614670948015975,2021-04-26
semi_ensemble,CZ,Deaths,0.51262597922158,2021-04-26
semi_ensemble,DE,Cases,0.33236636663206,2021-04-26
semi_ensemble,DE,Deaths,0.394336412401799,2021-04-26
semi_ensemble,FR,Cases,0.404235282212261,2021-04-26
semi_ensemble,FR,Deaths,0.116844283855465,2021-04-26
semi_ensemble,GB,Cases,0.476966472820353,2021-04-26
semi_ensemble,GB,Deaths,0.319537742350246,2021-04-26
semi_ensemble,PL,Cases,0.549483692596042,2021-04-26
semi_ensemble,PL,Deaths,0.294316688181665,2021-04-26
stat_ensemble,CZ,Deaths,0.160776171683501,2021-04-26
stat_ensemble,DE,Cases,0.280470051279518,2021-04-26
stat_ensemble,DE,Deaths,0.156125229895696,2021-04-26
stat_ensemble,FR,Cases,0.269265909837477,2021-04-26
stat_ensemble,FR,Deaths,0.651966928644705,2021-04-26
stat_ensemble,GB,Deaths,0.461519216250386,2021-04-26
stat_ensemble,PL,Deaths,0.320454797457224,2021-04-26
mech_ensemble,CZ,Cases,0.48753133577161,2021-05-03
mech_ensemble,CZ,Deaths,0.240227364680729,2021-05-03
mech_ensemble,DE,Cases,0.41867585547672,2021-05-03
mech_ensemble,DE,Deaths,0.387366781933478,2021-05-03
mech_ensemble,FR,Cases,0.322651467519224,2021-05-03
mech_ensemble,FR,Deaths,0.185949565308661,2021-05-03
mech_ensemble,GB,Cases,0.572323001333587,2021-05-03
mech_ensemble,GB,Deaths,0.31464515629158,2021-05-03
mech_ensemble,PL,Cases,0.319912460760219,2021-05-03
mech_ensemble,PL,Deaths,0.28729286070679,2021-05-03
semi_ensemble,CZ,Cases,0.51246866422839,2021-05-03
semi_ensemble,CZ,Deaths,0.341207556131276,2021-05-03
semi_ensemble,DE,Cases,0.338020082916746,2021-05-03
semi_ensemble,DE,Deaths,0.453853390822633,2021-05-03
semi_ensemble,FR,Cases,0.46218837962886,2021-05-03
semi_ensemble,FR,Deaths,0.172935387540254,2021-05-03
semi_ensemble,GB,Cases,0.427676998666413,2021-05-03
semi_ensemble,GB,Deaths,0.432923266804565,2021-05-03
semi_ensemble,PL,Cases,0.68008753923978,2021-05-03
semi_ensemble,PL,Deaths,0.499478168207694,2021-05-03
stat_ensemble,CZ,Deaths,0.418565079187995,2021-05-03
stat_ensemble,DE,Cases,0.243304061606534,2021-05-03
stat_ensemble,DE,Deaths,0.15877982724389,2021-05-03
stat_ensemble,FR,Cases,0.215160152851916,2021-05-03
stat_ensemble,FR,Deaths,0.641115047151085,2021-05-03
stat_ensemble,GB,Deaths,0.252431576903855,2021-05-03
stat_ensemble,PL,Deaths,0.213228971085515,2021-05-03
mech_ensemble,CZ,Cases,0.550069309096814,2021-05-10
mech_ensemble,CZ,Deaths,0.317939400464521,2021-05-10
mech_ensemble,DE,Cases,0.335875827336678,2021-05-10
mech_ensemble,DE,Deaths,0.381193139498574,2021-05-10
mech_ensemble,FR,Cases,0.383712539149292,2021-05-10
mech_ensemble,FR,Deaths,0.235181622598814,2021-05-10
mech_ensemble,GB,Cases,0.637936791474506,2021-05-10
mech_ensemble,GB,Deaths,0.366672915823997,2021-05-10
mech_ensemble,PL,Cases,0.2733985213029,2021-05-10
mech_ensemble,PL,Deaths,0.311485949195949,2021-05-10
semi_ensemble,CZ,Cases,0.449930690903186,2021-05-10
semi_ensemble,CZ,Deaths,0.352430764905854,2021-05-10
semi_ensemble,DE,Cases,0.221841605300193,2021-05-10
semi_ensemble,DE,Deaths,0.28549481498192,2021-05-10
semi_ensemble,FR,Cases,0.444402306933991,2021-05-10
semi_ensemble,FR,Deaths,0.166396249761552,2021-05-10
semi_ensemble,GB,Cases,0.362063208525495,2021-05-10
semi_ensemble,GB,Deaths,0.407928746677069,2021-05-10
semi_ensemble,PL,Cases,0.7266014786971,2021-05-10
semi_ensemble,PL,Deaths,0.587046442370791,2021-05-10
stat_ensemble,CZ,Deaths,0.329629834629625,2021-05-10
stat_ensemble,DE,Cases,0.442282567363129,2021-05-10
stat_ensemble,DE,Deaths,0.333312045519506,2021-05-10
stat_ensemble,FR,Cases,0.171885153916717,2021-05-10
stat_ensemble,FR,Deaths,0.598422127639634,2021-05-10
stat_ensemble,GB,Deaths,0.225398337498935,2021-05-10
stat_ensemble,PL,Deaths,0.101467608433261,2021-05-10
mech_ensemble,CZ,Cases,0.442141643909254,2021-05-17
mech_ensemble,CZ,Deaths,0.361573125503271,2021-05-17
mech_ensemble,DE,Cases,0.280918542268064,2021-05-17
mech_ensemble,DE,Deaths,0.402055229652287,2021-05-17
mech_ensemble,FR,Cases,0.487306337470097,2021-05-17
mech_ensemble,FR,Deaths,0.288575385136915,2021-05-17
mech_ensemble,GB,Cases,0.56227540070706,2021-05-17
mech_ensemble,GB,Deaths,0.343473158200134,2021-05-17
mech_ensemble,PL,Cases,0.347007884322647,2021-05-17
mech_ensemble,PL,Deaths,0.33645190274394,2021-05-17
semi_ensemble,CZ,Cases,0.557858356090746,2021-05-17
semi_ensemble,CZ,Deaths,0.374743446460781,2021-05-17
semi_ensemble,DE,Cases,0.203295482436605,2021-05-17
semi_ensemble,DE,Deaths,0.225193683996124,2021-05-17
semi_ensemble,FR,Cases,0.380536555833033,2021-05-17
semi_ensemble,FR,Deaths,0.196056550560362,2021-05-17
semi_ensemble,GB,Cases,0.43772459929294,2021-05-17
semi_ensemble,GB,Deaths,0.41692151896199,2021-05-17
semi_ensemble,PL,Cases,0.652992115677353,2021-05-17
semi_ensemble,PL,Deaths,0.572737614327754,2021-05-17
stat_ensemble,CZ,Deaths,0.263683428035948,2021-05-17
stat_ensemble,DE,Cases,0.515785975295331,2021-05-17
stat_ensemble,DE,Deaths,0.37275108635159,2021-05-17
stat_ensemble,FR,Cases,0.13215710669687,2021-05-17
