model,target_type,location,forecast_date,weights
bisop-seirfilter,Cases,CZ,2021-04-12,0.0615464786638868
bisop-seirfilterlite,Cases,CZ,2021-04-12,0.0615464786638868
DSMPG-bayes,Cases,CZ,2021-04-12,0.0615464786638868
epiforecasts-EpiNow2,Cases,CZ,2021-04-12,0.189724883117597
IEM_Health-CovidProject,Cases,CZ,2021-04-12,0.0615464786638868
ILM-EKF,Cases,CZ,2021-04-12,0.189724883117597
LANL-GrowthRate,Cases,CZ,2021-04-12,0.189724883117597
MUNI_DMS-SEIAR,Cases,CZ,2021-04-12,0.0615464786638868
UMass-SemiMech,Cases,CZ,2021-04-12,0.0615464786638868
USC-SIkJalpha,Cases,CZ,2021-04-12,0.0615464786638868
bisop-seirfilter,Deaths,CZ,2021-04-12,0.0388233795605576
bisop-seirfilterlite,Deaths,CZ,2021-04-12,0.0388233795605576
epiforecasts-EpiNow2,Deaths,CZ,2021-04-12,0.183596726189685
IEM_Health-CovidProject,Deaths,CZ,2021-04-12,0.0388233795605576
ILM-EKF,Deaths,CZ,2021-04-12,0.183596726189685
LANL-GrowthRate,Deaths,CZ,2021-04-12,0.183596726189685
MUNI_DMS-SEIAR,Deaths,CZ,2021-04-12,0.0388233795605576
RobertWalraven-ESG,Deaths,CZ,2021-04-12,0.177446164507042
UMass-MechBayes,Deaths,CZ,2021-04-12,0.0388233795605576
UMass-SemiMech,Deaths,CZ,2021-04-12,0.0388233795605576
USC-SIkJalpha,Deaths,CZ,2021-04-12,0.0388233795605576
bisop-seirfilterlite,Cases,DE,2021-04-12,0.030951289663887
DSMPG-bayes,Cases,DE,2021-04-12,0.030951289663887
epiforecasts-EpiNow2,Cases,DE,2021-04-12,0.090426538255181
FIAS_FZJ-Epi1Ger,Cases,DE,2021-04-12,0.030951289663887
IEM_Health-CovidProject,Cases,DE,2021-04-12,0.030951289663887
ILM-EKF,Cases,DE,2021-04-12,0.090426538255181
itwm-dSEIR,Cases,DE,2021-04-12,0.030951289663887
ITWW-county_repro,Cases,DE,2021-04-12,0.090426538255181
Karlen-pypm,Cases,DE,2021-04-12,0.030951289663887
LANL-GrowthRate,Cases,DE,2021-04-12,0.090426538255181
LeipzigIMISE-SECIR,Cases,DE,2021-04-12,0.030951289663887
MIT_CovidAnalytics-DELPHI,Cases,DE,2021-04-12,0.030951289663887
UMass-SemiMech,Cases,DE,2021-04-12,0.030951289663887
UNIPV-BayesINGARCHX,Cases,DE,2021-04-12,0.328780950340406
USC-SIkJalpha,Cases,DE,2021-04-12,0.030951289663887
bisop-seirfilterlite,Deaths,DE,2021-04-12,0.0356522657258479
epiforecasts-EpiNow2,Deaths,DE,2021-04-12,0.0634684042795538
