location,target_type,weights,model,forecast_date
CZ,Cases,0,mech_ensemble,2021-04-12
CZ,Deaths,0,mech_ensemble,2021-04-12
DE,Cases,0,mech_ensemble,2021-04-12
DE,Deaths,0.622065727699531,mech_ensemble,2021-04-12
FR,Cases,0.578624162915798,mech_ensemble,2021-04-12
FR,Deaths,0.0421802460452787,mech_ensemble,2021-04-12
GB,Cases,1,mech_ensemble,2021-04-12
GB,Deaths,0,mech_ensemble,2021-04-12
PL,Cases,0.927862169486893,mech_ensemble,2021-04-12
PL,Deaths,0,mech_ensemble,2021-04-12
CZ,Cases,1,semi_ensemble,2021-04-12
CZ,Deaths,1,semi_ensemble,2021-04-12
DE,Cases,0.450059248499675,semi_ensemble,2021-04-12
DE,Deaths,0,semi_ensemble,2021-04-12
FR,Cases,0,semi_ensemble,2021-04-12
FR,Deaths,0.590383075300021,semi_ensemble,2021-04-12
GB,Cases,0,semi_ensemble,2021-04-12
GB,Deaths,0.442080378250591,semi_ensemble,2021-04-12
PL,Cases,0.0721378305131066,semi_ensemble,2021-04-12
PL,Deaths,0.423087621696801,semi_ensemble,2021-04-12
CZ,Deaths,0,stat_ensemble,2021-04-12
DE,Cases,0.549940751500325,stat_ensemble,2021-04-12
DE,Deaths,0.37793427230047,stat_ensemble,2021-04-12
FR,Cases,0.421375837084202,stat_ensemble,2021-04-12
FR,Deaths,0.3674366786547,stat_ensemble,2021-04-12
GB,Deaths,0.557919621749409,stat_ensemble,2021-04-12
PL,Deaths,0.576912378303199,stat_ensemble,2021-04-12
CZ,Cases,0,mech_ensemble,2021-04-19
CZ,Deaths,0,mech_ensemble,2021-04-19
DE,Cases,0,mech_ensemble,2021-04-19
DE,Deaths,0.661699966136133,mech_ensemble,2021-04-19
FR,Cases,0.429256607779623,mech_ensemble,2021-04-19
FR,Deaths,0.275975120693251,mech_ensemble,2021-04-19
GB,Cases,1,mech_ensemble,2021-04-19
GB,Deaths,0,mech_ensemble,2021-04-19
PL,Cases,0,mech_ensemble,2021-04-19
PL,Deaths,0,mech_ensemble,2021-04-19
CZ,Cases,1,semi_ensemble,2021-04-19
CZ,Deaths,0.978378378378378,semi_ensemble,2021-04-19
DE,Cases,0.406739120850051,semi_ensemble,2021-04-19
DE,Deaths,0,semi_ensemble,2021-04-19
FR,Cases,0,semi_ensemble,2021-04-19
FR,Deaths,0.245123140672892,semi_ensemble,2021-04-19
GB,Cases,0,semi_ensemble,2021-04-19
GB,Deaths,0.444444444444444,semi_ensemble,2021-04-19
PL,Cases,1,semi_ensemble,2021-04-19
PL,Deaths,0.364606741573033,semi_ensemble,2021-04-19
CZ,Deaths,0.0216216216216217,stat_ensemble,2021-04-19
DE,Cases,0.593260879149949,stat_ensemble,2021-04-19
DE,Deaths,0.338300033863867,stat_ensemble,2021-04-19
FR,Cases,0.570743392220377,stat_ensemble,2021-04-19
FR,Deaths,0.478901738633857,stat_ensemble,2021-04-19
GB,Deaths,0.555555555555556,stat_ensemble,2021-04-19
PL,Deaths,0.635393258426967,stat_ensemble,2021-04-19
CZ,Cases,0.0901060737609,mech_ensemble,2021-04-26
CZ,Deaths,0,mech_ensemble,2021-04-26
DE,Cases,0.638094436652296,mech_ensemble,2021-04-26
DE,Deaths,0.216989904037904,mech_ensemble,2021-04-26
FR,Cases,0.612411304453427,mech_ensemble,2021-04-26
FR,Deaths,0,mech_ensemble,2021-04-26
GB,Cases,0.898617511520737,mech_ensemble,2021-04-26
GB,Deaths,0,mech_ensemble,2021-04-26
PL,Cases,0,mech_ensemble,2021-04-26
PL,Deaths,0.168670612650296,mech_ensemble,2021-04-26
CZ,Cases,0.9098939262391,semi_ensemble,2021-04-26
CZ,Deaths,0.724812030075188,semi_ensemble,2021-04-26
DE,Cases,0.0651434240789481,semi_ensemble,2021-04-26
DE,Deaths,0.460206003757755,semi_ensemble,2021-04-26
FR,Cases,0,semi_ensemble,2021-04-26
FR,Deaths,0.0524653874180228,semi_ensemble,2021-04-26
GB,Cases,0.101382488479263,semi_ensemble,2021-04-26
GB,Deaths,0.291666666666667,semi_ensemble,2021-04-26
PL,Cases,1,semi_ensemble,2021-04-26
PL,Deaths,0.180851751063881,semi_ensemble,2021-04-26
CZ,Deaths,0.275187969924812,stat_ensemble,2021-04-26
DE,Cases,0.296762139268756,stat_ensemble,2021-04-26
DE,Deaths,0.322804092204341,stat_ensemble,2021-04-26
FR,Cases,0.387588695546573,stat_ensemble,2021-04-26
FR,Deaths,0.947534612581977,stat_ensemble,2021-04-26
GB,Deaths,0.708333333333333,stat_ensemble,2021-04-26
PL,Deaths,0.650477636285823,stat_ensemble,2021-04-26
CZ,Cases,0.431281301245402,mech_ensemble,2021-05-03
CZ,Deaths,0,mech_ensemble,2021-05-03
DE,Cases,0,mech_ensemble,2021-05-03
DE,Deaths,0.565068493150685,mech_ensemble,2021-05-03
FR,Cases,0,mech_ensemble,2021-05-03
FR,Deaths,0,mech_ensemble,2021-05-03
GB,Cases,1,mech_ensemble,2021-05-03
GB,Deaths,0,mech_ensemble,2021-05-03
PL,Cases,0,mech_ensemble,2021-05-03
PL,Deaths,0.0464601596283189,mech_ensemble,2021-05-03
CZ,Cases,0.568718698754598,semi_ensemble,2021-05-03
