model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date
median_ensemble,CZ,Cases,2021-03-15,1,4675.4902173913,3132.83804347826,0,1542.65217391304,0.0495652173913044,0.5,8212,2021-03-20
median_ensemble,DE,Cases,2021-03-15,1,5996.95304347826,3049.04,2947.91304347826,0,-0.124347826086957,-0.7,10260,2021-03-20
median_ensemble,FR,Cases,2021-03-15,1,18426.9769565217,5926.25956521739,12500.7173913043,0,-0.211304347826087,-0.8,32834.5,2021-03-20
median_ensemble,GB,Cases,2021-03-15,1,1813.66673913043,1744.51456521739,69.1521739130435,0,0.310434782608696,-0.2,1070.5,2021-03-20
median_ensemble,PL,Cases,2021-03-15,1,8942.4647826087,5392.16043478261,3550.30434782609,0,0.136521739130435,-0.4,19429,2021-03-20
median_ensemble,CZ,Deaths,2021-03-15,1,66.3069565217391,40.3286956521739,0,25.9782608695652,-0.0373913043478261,0.6,135.5,2021-03-20
median_ensemble,DE,Deaths,2021-03-15,1,82.820652173913,68.1032608695652,0,14.7173913043478,0.223478260869565,0.3,109.5,2021-03-20
median_ensemble,FR,Deaths,2021-03-15,1,88.6526086956522,82.7395652173913,0,5.91304347826087,0.310434782608696,0.2,78,2021-03-20
median_ensemble,GB,Deaths,2021-03-15,1,63.1130434782609,50.895652173913,0,12.2173913043478,-0.0373913043478261,0.6,41,2021-03-20
median_ensemble,PL,Deaths,2021-03-15,1,90.1184782608696,89.4228260869565,0.695652173913044,0,0.397391304347826,-0.1,16,2021-03-20
median_ensemble,CZ,Cases,2021-03-15,2,8598.31934782609,4915.515,0,3682.80434782609,-0.0373913043478261,0.6,16575.5,2021-03-27
median_ensemble,DE,Cases,2021-03-15,2,17752.2908695652,6226.89956521739,11525.3913043478,0,-0.298260869565217,-0.9,31816,2021-03-27
median_ensemble,FR,Cases,2021-03-15,2,44527.4813043478,8470.39434782609,36057.0869565217,0,-0.298260869565217,-0.9,72399,2021-03-27
median_ensemble,GB,Cases,2021-03-15,2,3446.94630434783,2836.72891304348,610.217391304348,0,0.223478260869565,-0.3,5012,2021-03-27
median_ensemble,PL,Cases,2021-03-15,2,13321.047826087,9114.04782608696,4207,0,0.0495652173913044,-0.5,29087,2021-03-27
median_ensemble,CZ,Deaths,2021-03-15,2,220.891304347826,61.3695652173913,0,159.521739130435,-0.298260869565217,0.9,363,2021-03-27
median_ensemble,DE,Deaths,2021-03-15,2,115.69,76.3856521739131,0,39.304347826087,0.136521739130435,0.4,214,2021-03-27
median_ensemble,FR,Deaths,2021-03-15,2,283.223043478261,92.7447826086957,190.478260869565,0,-0.124347826086957,-0.7,477,2021-03-27
median_ensemble,GB,Deaths,2021-03-15,2,63.8639130434783,50.4291304347826,0,13.4347826086957,-0.0373913043478261,0.6,61,2021-03-27
median_ensemble,PL,Deaths,2021-03-15,2,164.625,145.472826086957,19.1521739130435,0,0.223478260869565,-0.3,208.5,2021-03-27
median_ensemble,CZ,Cases,2021-03-15,3,10548.5545652174,6116.57630434783,0,4431.97826086957,-0.0373913043478261,0.6,21106.5,2021-04-03
median_ensemble,DE,Cases,2021-03-15,3,10436.1204347826,10306.4682608696,0,129.652173913043,0.397391304347826,0.1,2982,2021-04-03
median_ensemble,FR,Cases,2021-03-15,3,23583.427826087,10806.3191304348,12777.1086956522,0,-0.0373913043478261,-0.6,44498.5,2021-04-03
median_ensemble,GB,Cases,2021-03-15,3,3419.76239130435,3345.43630434783,0,74.3260869565217,0.397391304347826,0.1,1709.5,2021-04-03
median_ensemble,PL,Cases,2021-03-15,3,12251.0552173913,11555.7943478261,695.260869565217,0,0.397391304347826,-0.1,15991,2021-04-03
median_ensemble,CZ,Deaths,2021-03-15,3,284.763260869565,84.589347826087,0,200.173913043478,-0.298260869565217,0.9,487,2021-04-03
median_ensemble,DE,Deaths,2021-03-15,3,191.502608695652,122.915652173913,0,68.5869565217391,0.0495652173913044,0.5,413.5,2021-04-03
